year,country_code,country_code_letter,HDI_value,dollar_per_capita
2017,124,CAN,0.929,191.56
2017,144,LKA,0.77,0.56
2017,152,CHL,0.854,1006.4
2017,156,CHN,0.757,0.51
2017,170,COL,0.765,1.24
2017,178,COG,0.6,0.17
2017,180,COD,0.469,17.27
2017,188,CRI,0.8,0.01
2017,191,HRV,0.855,4.71
2017,192,CUB,0.764,0.26
2017,203,CZE,0.896,5.12
2017,208,DNK,0.944,2.24
2017,214,DOM,0.761,5.62
2017,218,ECU,0.762,5.98
2017,222,SLV,0.667,0.19
2017,231,ETH,0.472,0.09
2017,233,EST,0.886,2.36
2017,242,FJI,0.728,3.03
2017,246,FIN,0.934,87.59
2017,251,FRA,0.899,4.4
2017,266,GAB,0.699,83.75
2017,268,GEO,0.807,114.53
2017,275,PSE,0.718,0.01
2017,276,DEU,0.944,6.54
2017,288,GHA,0.585,6.2
2017,300,GRC,0.88,8.72
2017,320,GTM,0.636,19.39
2017,328,GUY,0.699,187.95
2017,340,HND,0.614,5.84
2017,344,HKG,0.946,2.73
2017,348,HUN,0.846,0.92
2017,352,ISL,0.955,3.79
2017,360,IDN,0.708,14.1
2017,364,IRN,0.788,21.67
2017,372,IRL,0.934,65.61
2017,376,ISR,0.906,0.27
2017,380,ITA,0.889,3.48
2017,384,CIV,0.515,2.01
2017,388,JAM,0.711,32.83
2017,392,JPN,0.916,1.1
2017,398,KAZ,0.802,113.62
2017,400,JOR,0.744,0.05
2017,404,KEN,0.591,3.6
2017,410,KOR,0.915,3.75
2017,414,KWT,0.835,0.11
2017,417,KGZ,0.695,22.95
2017,418,LAO,0.612,113.82
2017,422,LBN,0.765,0.03
2017,426,LSO,0.522,0.0
2017,428,LVA,0.863,0.15
2017,430,LBR,0.481,8.9
2017,434,LBY,0.761,0.01
2017,440,LTU,0.878,0.82
2017,442,LUX,0.918,15.38
2017,450,MDG,0.502,4.62
2017,454,MWI,0.506,0.0
2017,458,MYS,0.8,44.12
2017,466,MLI,0.413,0.0
2017,470,MLT,0.896,0.57
2017,478,MRT,0.536,193.18
2017,480,MUS,0.797,0.1
2017,484,MEX,0.776,39.0
2017,496,MNG,0.742,698.82
2017,499,MNE,0.833,94.0
2017,504,MAR,0.671,10.26
2017,508,MOZ,0.45,7.48
2017,512,OMN,0.833,215.47
2017,516,NAM,0.634,250.55
2017,524,NPL,0.581,0.0
2017,528,NLD,0.936,56.41
2017,554,NZL,0.935,3.71
2017,558,NIC,0.656,0.0
2017,562,NER,0.377,13.62
2017,566,NGA,0.528,0.05
2017,579,NOR,0.959,37.04
2017,586,PAK,0.534,0.51
2017,600,PRY,0.739,0.0
2017,604,PER,0.765,530.41
2017,608,PHL,0.7,10.9
2017,616,POL,0.874,2.6
2017,620,PRT,0.857,50.22
2017,634,QAT,0.862,1.18
2017,642,ROU,0.823,2.63
2017,643,RUS,0.827,21.14
2017,646,RWA,0.52,10.16
2017,662,LCA,0.742,0.0
2017,682,SAU,0.849,10.84
2017,686,SEN,0.511,9.33
2017,688,SRB,0.802,10.23
2017,694,SLE,0.448,0.51
2017,699,IND,0.636,1.46
2017,702,SGP,0.938,4.64
2017,703,SVK,0.857,7.18
2017,704,VNM,0.706,1.16
2017,705,SVN,0.912,7.86
2017,710,ZAF,0.725,195.58
2017,716,ZWE,0.552,31.7
2017,724,ESP,0.896,50.65
2017,729,SDN,0.52,0.07
2017,740,SUR,0.71,0.09
2017,748,SWZ,0.601,0.0
2017,752,SWE,0.941,303.33
2017,757,CHE,0.955,1.98
2017,762,TJK,0.659,42.63
2017,764,THA,0.795,1.08
2017,780,TTO,0.811,4.94
2017,784,ARE,0.898,4.41
2017,788,TUN,0.732,0.28
2017,792,TUR,0.833,17.39
2017,800,UGA,0.534,0.06
2017,804,UKR,0.771,60.22
2017,807,MKD,0.789,106.19
2017,818,EGY,0.709,0.14
2017,826,GBR,0.929,3.64
2017,834,TZA,0.517,1.13
2017,842,USA,0.928,18.41
2017,854,BFA,0.432,0.0
2017,858,URY,0.815,0.11
2017,860,UZB,0.714,0.01
2017,882,WSM,0.714,0.0
2017,894,ZMB,0.568,2.16
2018,4,AFG,0.486,0.0
2018,8,ALB,0.797,24.69
2018,20,AND,0.863,0.13
2018,24,AGO,0.598,0.05
2018,31,AZE,0.757,1.96
2018,32,ARG,0.852,4.62
2018,36,AUS,0.941,2414.75
2018,40,AUT,0.917,6.45
2018,48,BHR,0.88,659.33
2018,51,ARM,0.781,187.63
2018,52,BRB,0.804,0.0
2018,56,BEL,0.933,27.93
2018,68,BOL,0.712,204.46
2018,70,BIH,0.774,11.69
2018,72,BWA,0.7,3.06
2018,76,BRA,0.762,114.84
2018,90,SLB,0.568,30.02
2018,100,BGR,0.811,103.08
2018,104,MMR,0.595,0.52
2018,108,BDI,0.421,1.19
2018,112,BLR,0.812,0.54
2018,116,KHM,0.588,0.08
2018,120,CMR,0.581,0.0
2018,124,CAN,0.93,212.3
2018,152,CHL,0.856,1087.17
2018,156,CHN,0.766,0.83
2018,170,COL,0.766,1.25
2018,178,COG,0.603,0.04
2018,180,COD,0.474,21.43
2018,188,CRI,0.804,0.01
2018,191,HRV,0.86,4.61
2018,192,CUB,0.765,1.07
2018,196,CYP,0.896,0.04
2018,203,CZE,0.893,2.35
2018,208,DNK,0.942,1.55
2018,212,DMA,0.744,0.01
2018,214,DOM,0.763,6.08
2018,218,ECU,0.761,6.53
2018,222,SLV,0.673,0.29
2018,231,ETH,0.479,0.08
2018,233,EST,0.89,2.68
2018,242,FJI,0.731,1.42
2018,246,FIN,0.936,104.94
2018,251,FRA,0.903,5.43
2018,266,GAB,0.699,113.0
2018,268,GEO,0.816,137.98
2018,275,PSE,0.722,0.13
2018,276,DEU,0.946,7.23
2018,288,GHA,0.589,11.31
2018,300,GRC,0.886,12.41
2018,320,GTM,0.64,2.4
2018,328,GUY,0.704,163.3
2018,340,HND,0.614,8.4
2018,344,HKG,0.949,4.23
2018,348,HUN,0.85,0.7
2018,352,ISL,0.958,2.91
2018,360,IDN,0.712,19.47
2018,364,IRN,0.787,13.22
2018,372,IRL,0.938,63.89
2018,376,ISR,0.908,0.23
2018,380,ITA,0.894,3.66
2018,384,CIV,0.522,4.34
2018,388,JAM,0.711,35.56
2018,392,JPN,0.917,1.35
2018,398,KAZ,0.804,110.8
2018,400,JOR,0.742,0.06
2018,404,KEN,0.598,4.23
2018,410,KOR,0.918,6.97
2018,414,KWT,0.836,0.05
2018,417,KGZ,0.698,19.33
2018,418,LAO,0.613,106.71
2018,422,LBN,0.764,0.03
2018,426,LSO,0.525,0.0
2018,428,LVA,0.868,1.0
2018,430,LBR,0.484,3.01
2018,440,LTU,0.882,1.85
2018,442,LUX,0.921,19.79
2018,450,MDG,0.502,3.82
2018,454,MWI,0.509,0.0
2018,458,MYS,0.802,40.4
2018,466,MLI,0.417,0.0
2018,470,MLT,0.903,0.24
2018,478,MRT,0.546,169.28
2018,480,MUS,0.8,0.0
2018,484,MEX,0.779,44.37
2018,496,MNG,0.754,832.26
2018,499,MNE,0.838,56.73
2018,504,MAR,0.677,9.2
2018,508,MOZ,0.458,9.89
2018,512,OMN,0.838,129.27
2018,516,NAM,0.635,320.26
2018,524,NPL,0.588,0.0
2018,528,NLD,0.939,82.78
2018,531,CUW,,0.0
2018,554,NZL,0.936,0.69
2018,558,NIC,0.658,0.08
2018,562,NER,0.383,9.29
2018,566,NGA,0.53,0.22
2018,579,NOR,0.96,40.62
2018,586,PAK,0.535,0.37
2018,600,PRY,0.742,0.01
2018,604,PER,0.77,559.38
2018,608,PHL,0.706,11.18
2018,616,POL,0.876,6.71
2018,620,PRT,0.858,66.92
2018,634,QAT,0.866,8.12
2018,642,ROU,0.829,3.81
2018,643,RUS,0.836,25.26
2018,646,RWA,0.522,11.98
2018,662,LCA,0.744,0.0
2018,682,SAU,0.856,19.92
2018,686,SEN,0.515,11.27
2018,688,SRB,0.808,11.0
2018,690,SYC,0.804,0.0
2018,694,SLE,0.454,4.26
2018,699,IND,0.636,1.2
2018,702,SGP,0.942,6.68
2018,703,SVK,0.86,6.47
2018,704,VNM,0.711,1.16
2018,705,SVN,0.916,7.82
2018,710,ZAF,0.731,198.86
2018,716,ZWE,0.564,33.07
2018,724,ESP,0.899,66.08
2018,729,SDN,0.52,0.04
2018,740,SUR,0.714,235.03
2018,748,SWZ,0.613,0.0
2018,752,SWE,0.943,306.49
2018,757,CHE,0.957,2.21
2018,762,TJK,0.664,42.99
2018,764,THA,0.796,1.58
2018,780,TTO,0.809,10.92
2018,784,ARE,0.917,3.42
2018,788,TUN,0.737,0.21
2018,792,TUR,0.838,16.32
2018,800,UGA,0.539,0.06
2018,804,UKR,0.771,67.14
2018,807,MKD,0.796,114.81
2018,818,EGY,0.717,0.17
2018,826,GBR,0.928,4.1
2018,834,TZA,0.525,0.0
2018,842,USA,0.93,20.56
2018,854,BFA,0.443,0.02
2018,858,URY,0.815,0.03
2018,860,UZB,0.719,0.61
2018,894,ZMB,0.571,1.86
2019,8,ALB,0.8,28.19
2019,20,AND,0.865,0.11
2019,24,AGO,0.597,0.0
2019,31,AZE,0.762,2.08
2019,32,ARG,0.853,3.56
2019,36,AUS,0.941,3144.19
2019,40,AUT,0.92,5.01
2019,48,BHR,0.888,913.64
