year,country_code,country_code_letter,HDI_value,dollar_per_capita,_x_orig,_y_orig,_x_scaled,_y_scaled,cluster
2013,442,LUX,0.922,30.24,30.24,0.922,0.0518274646981661,0.9342403628117919,1
2014,442,LUX,0.927,32.65,32.65,0.927,0.05802618380102369,0.9455782312925172,1
2015,442,LUX,0.914,33.73,33.73,0.914,0.06080403302554077,0.9160997732426306,1
2016,442,LUX,0.922,28.76,28.76,0.922,0.04802078242753158,0.9342403628117919,1
2017,442,LUX,0.918,22.84,22.84,0.918,0.03279405334499344,0.9251700680272112,1
2018,442,LUX,0.921,37.72,37.72,0.921,0.07106664266056226,0.9319727891156464,1
2019,442,LUX,0.925,31.13,31.13,0.925,0.0541166182257774,0.9410430839002271,1
2020,442,LUX,0.921,30.77,30.77,0.921,0.053190668484271716,0.9319727891156464,1
2013,428,LVA,0.846,199.23,199.23,0.846,0.4864837058566321,0.7619047619047621,0
2014,428,LVA,0.85,209.38,209.38,0.85,0.5125903444018622,0.7709750566893425,0
2015,428,LVA,0.853,232.22,232.22,0.853,0.5713367113351682,0.7777777777777779,0
2016,428,LVA,0.858,227.83,227.83,0.858,0.5600452686540293,0.7891156462585036,0
2017,428,LVA,0.863,239.2,239.2,0.863,0.5892898479899175,0.8004535147392293,0
2018,428,LVA,0.868,222.0,222.0,0.868,0.5450500270068676,0.8117913832199548,0
2019,428,LVA,0.873,303.5,303.5,0.873,0.7546747601532962,0.8231292517006805,0
2020,428,LVA,0.873,390.55,390.55,0.873,0.9785745518146043,0.8231292517006805,0
2013,498,MDA,0.726,42.23,42.23,0.726,0.0826667352555364,0.48979591836734704,2
2014,498,MDA,0.749,63.42,63.42,0.749,0.13716916587360786,0.541950113378685,2
2015,498,MDA,0.749,40.15,40.15,0.749,0.07731680341572571,0.541950113378685,2
2016,498,MDA,0.755,56.43,56.43,0.755,0.11919030839270556,0.5555555555555558,2
2017,498,MDA,0.764,66.39,66.39,0.764,0.14480825124102986,0.575963718820862,2
2018,498,MDA,0.767,82.25,82.25,0.767,0.18560148151958641,0.5827664399092973,2
2019,498,MDA,0.773,87.13,87.13,0.773,0.19815324468221918,0.5963718820861681,2
2020,498,MDA,0.765,42.86,42.86,0.765,0.08428714730317137,0.578231292517007,2
2013,470,MLT,0.874,40.3,40.3,0.874,0.07770261580801975,0.8253968253968256,1
2015,470,MLT,0.887,42.32,42.32,0.887,0.08289822269091283,0.8548752834467124,1
2016,470,MLT,0.887,13.24,13.24,0.887,0.008102060238174853,0.8548752834467124,1
2017,470,MLT,0.896,32.34,32.34,0.896,0.05722883819028268,0.8752834467120183,1
2013,104,MMR,0.538,14.71,14.71,0.538,0.01188302168265645,0.06349206349206371,3
2014,104,MMR,0.548,19.5,19.5,0.548,0.024203297409912807,0.08616780045351491,3
2015,104,MMR,0.557,18.74,18.74,0.557,0.022248514622289665,0.10657596371882105,3
2016,104,MMR,0.567,12.91,12.91,0.567,0.007253272975127966,0.12925170068027203,3
2017,104,MMR,0.58,25.78,25.78,0.58,0.040355976233956634,0.15873015873015883,3
2018,104,MMR,0.595,21.19,21.19,0.595,0.028550117029758997,0.19274376417233574,3
2019,104,MMR,0.608,19.43,19.43,0.608,0.024023251626842258,0.22222222222222232,3
2020,104,MMR,0.615,21.89,21.89,0.615,0.03035057486046452,0.23809523809523814,3
2013,528,NLD,0.929,44.33,44.33,0.929,0.08806810874765297,0.9501133786848077,1
2014,528,NLD,0.931,45.0,45.0,0.931,0.08979140409989969,0.9546485260770978,1
2015,528,NLD,0.932,31.51,31.51,0.932,0.05509400961958898,0.9569160997732429,1
2016,528,NLD,0.933,28.66,28.66,0.933,0.047763574166002215,0.9591836734693879,1
2017,528,NLD,0.936,32.05,32.05,0.936,0.05648293423184751,0.9659863945578235,1
2018,528,NLD,0.939,41.03,41.03,0.939,0.07958023611718408,0.9727891156462587,1
2019,528,NLD,0.941,40.55,40.55,0.941,0.07834563646184314,0.9773242630385488,1
2020,528,NLD,0.938,37.29,37.29,0.938,0.069960647135986,0.9705215419501136,1
